cycle|instructions|events|p8|p10|bonds|atoms|error
88|part-10:track_plus,part-8:track_plus|-|o=3,-1;r=5;l=1;t=1;tips=0:4,-2;held=-|o=3,-3;r=4;l=1;t=4;tips=0:3,-4;held=-|part-9-spawn-1-atom-0-part-9-spawn-2-atom-0:normal|part-4-spawn-0-atom-0=salt@3,-2[-];part-4-spawn-0-atom-1=salt@7,-3[-];part-4-spawn-0-atom-2=salt@3,1[-];part-4-spawn-1-atom-0=salt@5,-1[-];part-9-spawn-0-atom-0=fire@0,-1[-];part-9-spawn-0-atom-1=salt@2,-5[-];part-9-spawn-1-atom-0=salt@2,-4[-];part-9-spawn-2-atom-0=salt@1,-3[-];part-9-spawn-3-atom-0=water@3,-5[-]|-
89|part-1:rotate_cw,part-10:track_plus,part-8:rotate_cw|-|o=3,-1;r=4;l=1;t=1;tips=0:3,-2;held=-|o=2,-2;r=4;l=1;t=5;tips=0:2,-3;held=-|part-9-spawn-1-atom-0-part-9-spawn-2-atom-0:normal|part-4-spawn-0-atom-0=salt@3,-2[-];part-4-spawn-0-atom-1=salt@7,-3[-];part-4-spawn-0-atom-2=salt@3,1[-];part-4-spawn-1-atom-0=salt@5,-1[-];part-9-spawn-0-atom-0=fire@0,-1[-];part-9-spawn-0-atom-1=salt@2,-5[-];part-9-spawn-1-atom-0=salt@2,-4[-];part-9-spawn-2-atom-0=salt@1,-3[-];part-9-spawn-3-atom-0=water@3,-5[-]|-
90|part-1:rotate_cw,part-8:grab|atom-grabbed|o=3,-1;r=4;l=1;t=1;tips=0:3,-2;held=part-4-spawn-0-atom-0|o=2,-2;r=4;l=1;t=5;tips=0:2,-3;held=-|part-9-spawn-1-atom-0-part-9-spawn-2-atom-0:normal|part-4-spawn-0-atom-0=salt@3,-2[part-8];part-4-spawn-0-atom-1=salt@7,-3[-];part-4-spawn-0-atom-2=salt@3,1[-];part-4-spawn-1-atom-0=salt@5,-1[-];part-9-spawn-0-atom-0=fire@0,-1[-];part-9-spawn-0-atom-1=salt@2,-5[-];part-9-spawn-1-atom-0=salt@2,-4[-];part-9-spawn-2-atom-0=salt@1,-3[-];part-9-spawn-3-atom-0=water@3,-5[-]|-
91|part-1:rotate_cw,part-10:rotate_cw,part-8:rotate_cw|-|o=3,-1;r=3;l=1;t=1;tips=0:2,-1;held=part-4-spawn-0-atom-0|o=2,-2;r=3;l=1;t=5;tips=0:1,-2;held=-|part-9-spawn-1-atom-0-part-9-spawn-2-atom-0:normal|part-4-spawn-0-atom-0=salt@2,-1[part-8];part-4-spawn-0-atom-1=salt@7,-3[-];part-4-spawn-0-atom-2=salt@3,1[-];part-4-spawn-1-atom-0=salt@5,-1[-];part-9-spawn-0-atom-0=fire@0,-1[-];part-9-spawn-0-atom-1=salt@2,-5[-];part-9-spawn-1-atom-0=salt@2,-4[-];part-9-spawn-2-atom-0=salt@1,-3[-];part-9-spawn-3-atom-0=water@3,-5[-]|-
92|part-8:track_plus|-|o=4,-2;r=3;l=1;t=2;tips=0:3,-2;held=part-4-spawn-0-atom-0|o=2,-2;r=3;l=1;t=5;tips=0:1,-2;held=-|part-9-spawn-1-atom-0-part-9-spawn-2-atom-0:normal|part-4-spawn-0-atom-0=salt@3,-2[part-8];part-4-spawn-0-atom-1=salt@7,-3[-];part-4-spawn-0-atom-2=salt@3,1[-];part-4-spawn-1-atom-0=salt@5,-1[-];part-9-spawn-0-atom-0=fire@0,-1[-];part-9-spawn-0-atom-1=salt@2,-5[-];part-9-spawn-1-atom-0=salt@2,-4[-];part-9-spawn-2-atom-0=salt@1,-3[-];part-9-spawn-3-atom-0=water@3,-5[-]|-
93|part-8:drop|atoms-dropped|o=4,-2;r=3;l=1;t=2;tips=0:3,-2;held=-|o=2,-2;r=3;l=1;t=5;tips=0:1,-2;held=-|part-9-spawn-1-atom-0-part-9-spawn-2-atom-0:normal|part-4-spawn-0-atom-0=salt@3,-2[-];part-4-spawn-0-atom-1=salt@7,-3[-];part-4-spawn-0-atom-2=salt@3,1[-];part-4-spawn-1-atom-0=salt@5,-1[-];part-9-spawn-0-atom-0=fire@0,-1[-];part-9-spawn-0-atom-1=salt@2,-5[-];part-9-spawn-1-atom-0=salt@2,-4[-];part-9-spawn-2-atom-0=salt@1,-3[-];part-9-spawn-3-atom-0=water@3,-5[-]|-
94|part-10:track_plus,part-8:track_plus|-|o=4,-3;r=3;l=1;t=3;tips=0:3,-3;held=-|o=2,-1;r=3;l=1;t=0;tips=0:1,-1;held=-|part-9-spawn-1-atom-0-part-9-spawn-2-atom-0:normal|part-4-spawn-0-atom-0=salt@3,-2[-];part-4-spawn-0-atom-1=salt@7,-3[-];part-4-spawn-0-atom-2=salt@3,1[-];part-4-spawn-1-atom-0=salt@5,-1[-];part-9-spawn-0-atom-0=fire@0,-1[-];part-9-spawn-0-atom-1=salt@2,-5[-];part-9-spawn-1-atom-0=salt@2,-4[-];part-9-spawn-2-atom-0=salt@1,-3[-];part-9-spawn-3-atom-0=water@3,-5[-]|-
95|part-10:drop,part-8:track_plus|-|o=3,-3;r=3;l=1;t=4;tips=0:2,-3;held=-|o=2,-1;r=3;l=1;t=0;tips=0:1,-1;held=-|part-9-spawn-1-atom-0-part-9-spawn-2-atom-0:normal|part-4-spawn-0-atom-0=salt@3,-2[-];part-4-spawn-0-atom-1=salt@7,-3[-];part-4-spawn-0-atom-2=salt@3,1[-];part-4-spawn-1-atom-0=salt@5,-1[-];part-9-spawn-0-atom-0=fire@0,-1[-];part-9-spawn-0-atom-1=salt@2,-5[-];part-9-spawn-1-atom-0=salt@2,-4[-];part-9-spawn-2-atom-0=salt@1,-3[-];part-9-spawn-3-atom-0=water@3,-5[-]|-
96|part-10:rotate_cw,part-8:rotate_ccw|-|o=3,-3;r=4;l=1;t=4;tips=0:3,-4;held=-|o=2,-1;r=2;l=1;t=0;tips=0:1,0;held=-|part-9-spawn-1-atom-0-part-9-spawn-2-atom-0:normal|part-4-spawn-0-atom-0=salt@3,-2[-];part-4-spawn-0-atom-1=salt@7,-3[-];part-4-spawn-0-atom-2=salt@3,1[-];part-4-spawn-1-atom-0=salt@5,-1[-];part-9-spawn-0-atom-0=fire@0,-1[-];part-9-spawn-0-atom-1=salt@2,-5[-];part-9-spawn-1-atom-0=salt@2,-4[-];part-9-spawn-2-atom-0=salt@1,-3[-];part-9-spawn-3-atom-0=water@3,-5[-]|-
97|part-10:rotate_cw,part-8:extend|-|o=3,-3;r=4;l=2;t=4;tips=0:3,-5;held=-|o=2,-1;r=1;l=1;t=0;tips=0:2,0;held=-|part-9-spawn-1-atom-0-part-9-spawn-2-atom-0:normal|part-4-spawn-0-atom-0=salt@3,-2[-];part-4-spawn-0-atom-1=salt@7,-3[-];part-4-spawn-0-atom-2=salt@3,1[-];part-4-spawn-1-atom-0=salt@5,-1[-];part-9-spawn-0-atom-0=fire@0,-1[-];part-9-spawn-0-atom-1=salt@2,-5[-];part-9-spawn-1-atom-0=salt@2,-4[-];part-9-spawn-2-atom-0=salt@1,-3[-];part-9-spawn-3-atom-0=water@3,-5[-]|-
98|part-10:rotate_cw,part-8:grab|atom-grabbed|o=3,-3;r=4;l=2;t=4;tips=0:3,-5;held=part-9-spawn-3-atom-0|o=2,-1;r=0;l=1;t=0;tips=0:3,-1;held=-|part-9-spawn-1-atom-0-part-9-spawn-2-atom-0:normal|part-4-spawn-0-atom-0=salt@3,-2[-];part-4-spawn-0-atom-1=salt@7,-3[-];part-4-spawn-0-atom-2=salt@3,1[-];part-4-spawn-1-atom-0=salt@5,-1[-];part-9-spawn-0-atom-0=fire@0,-1[-];part-9-spawn-0-atom-1=salt@2,-5[-];part-9-spawn-1-atom-0=salt@2,-4[-];part-9-spawn-2-atom-0=salt@1,-3[-];part-9-spawn-3-atom-0=water@3,-5[part-8]|-
99|part-10:extend,part-8:track_minus|input-spawned,atom-calcified|o=4,-3;r=4;l=2;t=3;tips=0:4,-5;held=part-9-spawn-3-atom-0|o=2,-1;r=0;l=2;t=0;tips=0:4,-1;held=-|part-9-spawn-1-atom-0-part-9-spawn-2-atom-0:normal|part-4-spawn-0-atom-0=salt@3,-2[-];part-4-spawn-0-atom-1=salt@7,-3[-];part-4-spawn-0-atom-2=salt@3,1[-];part-4-spawn-1-atom-0=salt@5,-1[-];part-9-spawn-0-atom-0=fire@0,-1[-];part-9-spawn-0-atom-1=salt@2,-5[-];part-9-spawn-1-atom-0=salt@2,-4[-];part-9-spawn-2-atom-0=salt@1,-3[-];part-9-spawn-3-atom-0=salt@4,-5[part-8];part-9-spawn-4-atom-0=water@3,-5[-]|-
100|part-8:rotate_cw|-|o=4,-3;r=3;l=2;t=3;tips=0:2,-3;held=part-9-spawn-3-atom-0|o=2,-1;r=0;l=2;t=0;tips=0:4,-1;held=-|part-9-spawn-1-atom-0-part-9-spawn-2-atom-0:normal|part-4-spawn-0-atom-0=salt@3,-2[-];part-4-spawn-0-atom-1=salt@7,-3[-];part-4-spawn-0-atom-2=salt@3,1[-];part-4-spawn-1-atom-0=salt@5,-1[-];part-9-spawn-0-atom-0=fire@0,-1[-];part-9-spawn-0-atom-1=salt@2,-5[-];part-9-spawn-1-atom-0=salt@2,-4[-];part-9-spawn-2-atom-0=salt@1,-3[-];part-9-spawn-3-atom-0=salt@2,-3[part-8];part-9-spawn-4-atom-0=water@3,-5[-]|-
100|part-8:extend|-|o=4,-3;r=3;l=2;t=3;tips=0:2,-3;held=part-9-spawn-3-atom-0|o=2,-1;r=0;l=2;t=0;tips=0:4,-1;held=-|part-9-spawn-1-atom-0-part-9-spawn-2-atom-0:normal|part-4-spawn-0-atom-0=salt@3,-2[-];part-4-spawn-0-atom-1=salt@7,-3[-];part-4-spawn-0-atom-2=salt@3,1[-];part-4-spawn-1-atom-0=salt@5,-1[-];part-9-spawn-0-atom-0=fire@0,-1[-];part-9-spawn-0-atom-1=salt@2,-5[-];part-9-spawn-1-atom-0=salt@2,-4[-];part-9-spawn-2-atom-0=salt@1,-3[-];part-9-spawn-3-atom-0=salt@2,-3[part-8];part-9-spawn-4-atom-0=water@3,-5[-]|Atom part-9-spawn-3-atom-0 collides with stationary atom part-9-spawn-2-atom-0 at (1, -3); activeArms={'part-1': {'instruction': None, 'heldAtoms': ['part-1-wheel-0', 'part-1-wheel-1', 'part-1-wheel-2', 'part-1-wheel-3', 'part-1-wheel-4', 'part-1-wheel-5']}, 'part-8': {'instruction': 'extend', 'heldAtoms': ['part-9-spawn-3-atom-0']}}; atomHolders={'part-9-spawn-3-atom-0': ['part-8']}; outputs=[{'outputId': 'part-12', 'productIndex': 0, 'atoms': [((1, -2), 'air'), ((1, -1), 'salt'), ((1, 0), 'water'), ((2, -3), 'water'), ((2, 0), 'earth'), ((3, -4), 'salt'), ((3, -2), 'salt'), ((3, 0), 'salt'), ((4, -4), 'air'), ((4, -1), 'fire'), ((5, -4), 'fire'), ((5, -3), 'salt'), ((5, -2), 'earth')], 'bonds': [('normal', (1, -2), (1, -1)), ('normal', (1, 0), (2, 0)), ('normal', (2, -3), (3, -4)), ('normal', (3, 0), (4, -1)), ('normal', (4, -4), (5, -4)), ('normal', (5, -3), (5, -2))]}]; delivered={}; bonders=[((0, -1), (0, -2), 'part-0'), ((2, -4), (1, -3), 'part-11')]; unbonders=[((0, 0), (0, 1), 'part-6')]; calcification=[((4, -5), 'part-5')]; purification=[]; projection=[]; motionState=[{'armId': 'part-8', 'instruction': 'extend', 'sources': {'part-9-spawn-3-atom-0': [2, -3]}, 'destinations': {'part-9-spawn-3-atom-0': [1, -3]}, 'arm': {'partId': 'part-8', 'partType': 'piston', 'origin': [4, -3], 'rotation': 3, 'length': 2, 'branchCount': 1, 'tips': [{'branchIndex': 0, 'position': [2, -3]}], 'grabbing': True, 'heldAtoms': [{'branchIndex': 0, 'atomId': 'part-9-spawn-3-atom-0'}], 'trackIndex': 3, 'trackCellCount': 6}}]; outputCandidates=[{'atomIds': ['part-4-spawn-0-atom-0'], 'atoms': [((3, -2), 'salt')], 'bonds': [], 'heldBy': {}}, {'atomIds': ['part-9-spawn-3-atom-0'], 'atoms': [((2, -3), 'salt')], 'bonds': [], 'heldBy': {'part-9-spawn-3-atom-0': ['part-8']}}]
