cycle|instructions|events|atoms|bonds|delivered|error
133|part-8:drop|-|part-4-spawn-0-atom-0=salt@3,-2[-];part-4-spawn-0-atom-1=salt@7,-3[-];part-4-spawn-0-atom-2=salt@3,1[-];part-4-spawn-1-atom-0=salt@5,-1[-];part-9-spawn-0-atom-0=fire@0,-1[-];part-9-spawn-0-atom-1=salt@2,-5[-];part-9-spawn-1-atom-0=salt@3,-5[-];part-9-spawn-2-atom-0=salt@2,-4[-];part-9-spawn-3-atom-0=salt@1,-3[-];part-9-spawn-4-atom-0=water@4,-6[-]|part-9-spawn-1-atom-0-part-9-spawn-2-atom-0:normal;part-9-spawn-2-atom-0-part-9-spawn-3-atom-0:normal|{}|-
134|part-8:rotate_cw|-|part-4-spawn-0-atom-0=salt@3,-2[-];part-4-spawn-0-atom-1=salt@7,-3[-];part-4-spawn-0-atom-2=salt@3,1[-];part-4-spawn-1-atom-0=salt@5,-1[-];part-9-spawn-0-atom-0=fire@0,-1[-];part-9-spawn-0-atom-1=salt@2,-5[-];part-9-spawn-1-atom-0=salt@3,-5[-];part-9-spawn-2-atom-0=salt@2,-4[-];part-9-spawn-3-atom-0=salt@1,-3[-];part-9-spawn-4-atom-0=water@4,-6[-]|part-9-spawn-1-atom-0-part-9-spawn-2-atom-0:normal;part-9-spawn-2-atom-0-part-9-spawn-3-atom-0:normal|{}|-
135|part-8:rotate_cw|-|part-4-spawn-0-atom-0=salt@3,-2[-];part-4-spawn-0-atom-1=salt@7,-3[-];part-4-spawn-0-atom-2=salt@3,1[-];part-4-spawn-1-atom-0=salt@5,-1[-];part-9-spawn-0-atom-0=fire@0,-1[-];part-9-spawn-0-atom-1=salt@2,-5[-];part-9-spawn-1-atom-0=salt@3,-5[-];part-9-spawn-2-atom-0=salt@2,-4[-];part-9-spawn-3-atom-0=salt@1,-3[-];part-9-spawn-4-atom-0=water@4,-6[-]|part-9-spawn-1-atom-0-part-9-spawn-2-atom-0:normal;part-9-spawn-2-atom-0-part-9-spawn-3-atom-0:normal|{}|-
136|part-8:grab|-|part-4-spawn-0-atom-0=salt@3,-2[-];part-4-spawn-0-atom-1=salt@7,-3[-];part-4-spawn-0-atom-2=salt@3,1[-];part-4-spawn-1-atom-0=salt@5,-1[-];part-9-spawn-0-atom-0=fire@0,-1[-];part-9-spawn-0-atom-1=salt@2,-5[-];part-9-spawn-1-atom-0=salt@3,-5[-];part-9-spawn-2-atom-0=salt@2,-4[-];part-9-spawn-3-atom-0=salt@1,-3[-];part-9-spawn-4-atom-0=water@4,-6[-]|part-9-spawn-1-atom-0-part-9-spawn-2-atom-0:normal;part-9-spawn-2-atom-0-part-9-spawn-3-atom-0:normal|{}|-
137|part-1:rotate_ccw,part-8:extend|-|part-4-spawn-0-atom-0=salt@3,-2[-];part-4-spawn-0-atom-1=salt@7,-3[-];part-4-spawn-0-atom-2=salt@3,1[-];part-4-spawn-1-atom-0=salt@5,-1[-];part-9-spawn-0-atom-0=fire@0,-1[-];part-9-spawn-0-atom-1=salt@2,-5[-];part-9-spawn-1-atom-0=salt@3,-5[-];part-9-spawn-2-atom-0=salt@2,-4[-];part-9-spawn-3-atom-0=salt@1,-3[-];part-9-spawn-4-atom-0=water@4,-6[-]|part-9-spawn-1-atom-0-part-9-spawn-2-atom-0:normal;part-9-spawn-2-atom-0-part-9-spawn-3-atom-0:normal|{}|-
138|part-10:track_minus,part-8:retract|-|part-4-spawn-0-atom-0=salt@3,-2[-];part-4-spawn-0-atom-1=salt@7,-3[-];part-4-spawn-0-atom-2=salt@3,1[-];part-4-spawn-1-atom-0=salt@5,-1[-];part-9-spawn-0-atom-0=fire@0,-1[-];part-9-spawn-0-atom-1=salt@2,-5[-];part-9-spawn-1-atom-0=salt@3,-5[-];part-9-spawn-2-atom-0=salt@2,-4[-];part-9-spawn-3-atom-0=salt@1,-3[-];part-9-spawn-4-atom-0=water@4,-6[-]|part-9-spawn-1-atom-0-part-9-spawn-2-atom-0:normal;part-9-spawn-2-atom-0-part-9-spawn-3-atom-0:normal|{}|-
139|part-8:track_minus|-|part-4-spawn-0-atom-0=salt@3,-2[-];part-4-spawn-0-atom-1=salt@7,-3[-];part-4-spawn-0-atom-2=salt@3,1[-];part-4-spawn-1-atom-0=salt@5,-1[-];part-9-spawn-0-atom-0=fire@0,-1[-];part-9-spawn-0-atom-1=salt@2,-5[-];part-9-spawn-1-atom-0=salt@3,-5[-];part-9-spawn-2-atom-0=salt@2,-4[-];part-9-spawn-3-atom-0=salt@1,-3[-];part-9-spawn-4-atom-0=water@4,-6[-]|part-9-spawn-1-atom-0-part-9-spawn-2-atom-0:normal;part-9-spawn-2-atom-0-part-9-spawn-3-atom-0:normal|{}|-
140|part-8:rotate_ccw|-|part-4-spawn-0-atom-0=salt@3,-2[-];part-4-spawn-0-atom-1=salt@7,-3[-];part-4-spawn-0-atom-2=salt@3,1[-];part-4-spawn-1-atom-0=salt@5,-1[-];part-9-spawn-0-atom-0=fire@0,-1[-];part-9-spawn-0-atom-1=salt@2,-5[-];part-9-spawn-1-atom-0=salt@3,-5[-];part-9-spawn-2-atom-0=salt@2,-4[-];part-9-spawn-3-atom-0=salt@1,-3[-];part-9-spawn-4-atom-0=water@4,-6[-]|part-9-spawn-1-atom-0-part-9-spawn-2-atom-0:normal;part-9-spawn-2-atom-0-part-9-spawn-3-atom-0:normal|{}|-
141|part-8:drop|-|part-4-spawn-0-atom-0=salt@3,-2[-];part-4-spawn-0-atom-1=salt@7,-3[-];part-4-spawn-0-atom-2=salt@3,1[-];part-4-spawn-1-atom-0=salt@5,-1[-];part-9-spawn-0-atom-0=fire@0,-1[-];part-9-spawn-0-atom-1=salt@2,-5[-];part-9-spawn-1-atom-0=salt@3,-5[-];part-9-spawn-2-atom-0=salt@2,-4[-];part-9-spawn-3-atom-0=salt@1,-3[-];part-9-spawn-4-atom-0=water@4,-6[-]|part-9-spawn-1-atom-0-part-9-spawn-2-atom-0:normal;part-9-spawn-2-atom-0-part-9-spawn-3-atom-0:normal|{}|-
142|part-8:rotate_cw|-|part-4-spawn-0-atom-0=salt@3,-2[-];part-4-spawn-0-atom-1=salt@7,-3[-];part-4-spawn-0-atom-2=salt@3,1[-];part-4-spawn-1-atom-0=salt@5,-1[-];part-9-spawn-0-atom-0=fire@0,-1[-];part-9-spawn-0-atom-1=salt@2,-5[-];part-9-spawn-1-atom-0=salt@3,-5[-];part-9-spawn-2-atom-0=salt@2,-4[-];part-9-spawn-3-atom-0=salt@1,-3[-];part-9-spawn-4-atom-0=water@4,-6[-]|part-9-spawn-1-atom-0-part-9-spawn-2-atom-0:normal;part-9-spawn-2-atom-0-part-9-spawn-3-atom-0:normal|{}|-
143|part-8:track_plus|-|part-4-spawn-0-atom-0=salt@3,-2[-];part-4-spawn-0-atom-1=salt@7,-3[-];part-4-spawn-0-atom-2=salt@3,1[-];part-4-spawn-1-atom-0=salt@5,-1[-];part-9-spawn-0-atom-0=fire@0,-1[-];part-9-spawn-0-atom-1=salt@2,-5[-];part-9-spawn-1-atom-0=salt@3,-5[-];part-9-spawn-2-atom-0=salt@2,-4[-];part-9-spawn-3-atom-0=salt@1,-3[-];part-9-spawn-4-atom-0=water@4,-6[-]|part-9-spawn-1-atom-0-part-9-spawn-2-atom-0:normal;part-9-spawn-2-atom-0-part-9-spawn-3-atom-0:normal|{}|-
144|part-8:grab|-|part-4-spawn-0-atom-0=salt@3,-2[-];part-4-spawn-0-atom-1=salt@7,-3[-];part-4-spawn-0-atom-2=salt@3,1[-];part-4-spawn-1-atom-0=salt@5,-1[-];part-9-spawn-0-atom-0=fire@0,-1[-];part-9-spawn-0-atom-1=salt@2,-5[-];part-9-spawn-1-atom-0=salt@3,-5[-];part-9-spawn-2-atom-0=salt@2,-4[-];part-9-spawn-3-atom-0=salt@1,-3[-];part-9-spawn-4-atom-0=water@4,-6[-]|part-9-spawn-1-atom-0-part-9-spawn-2-atom-0:normal;part-9-spawn-2-atom-0-part-9-spawn-3-atom-0:normal|{}|-
145|part-1:rotate_ccw,part-10:track_plus,part-8:extend|-|part-4-spawn-0-atom-0=salt@3,-2[-];part-4-spawn-0-atom-1=salt@7,-3[-];part-4-spawn-0-atom-2=salt@3,1[-];part-4-spawn-1-atom-0=salt@5,-1[-];part-9-spawn-0-atom-0=fire@0,-1[-];part-9-spawn-0-atom-1=salt@2,-5[-];part-9-spawn-1-atom-0=salt@3,-5[-];part-9-spawn-2-atom-0=salt@2,-4[-];part-9-spawn-3-atom-0=salt@1,-3[-];part-9-spawn-4-atom-0=water@4,-6[-]|part-9-spawn-1-atom-0-part-9-spawn-2-atom-0:normal;part-9-spawn-2-atom-0-part-9-spawn-3-atom-0:normal|{}|-
146|part-10:track_minus,part-8:retract|-|part-4-spawn-0-atom-0=salt@3,-2[-];part-4-spawn-0-atom-1=salt@7,-3[-];part-4-spawn-0-atom-2=salt@3,1[-];part-4-spawn-1-atom-0=salt@5,-1[-];part-9-spawn-0-atom-0=fire@0,-1[-];part-9-spawn-0-atom-1=salt@2,-5[-];part-9-spawn-1-atom-0=salt@3,-5[-];part-9-spawn-2-atom-0=salt@2,-4[-];part-9-spawn-3-atom-0=salt@1,-3[-];part-9-spawn-4-atom-0=water@4,-6[-]|part-9-spawn-1-atom-0-part-9-spawn-2-atom-0:normal;part-9-spawn-2-atom-0-part-9-spawn-3-atom-0:normal|{}|-
147|part-10:grab,part-8:drop|-|part-4-spawn-0-atom-0=salt@3,-2[-];part-4-spawn-0-atom-1=salt@7,-3[-];part-4-spawn-0-atom-2=salt@3,1[-];part-4-spawn-1-atom-0=salt@5,-1[-];part-9-spawn-0-atom-0=fire@0,-1[-];part-9-spawn-0-atom-1=salt@2,-5[-];part-9-spawn-1-atom-0=salt@3,-5[-];part-9-spawn-2-atom-0=salt@2,-4[-];part-9-spawn-3-atom-0=salt@1,-3[-];part-9-spawn-4-atom-0=water@4,-6[-]|part-9-spawn-1-atom-0-part-9-spawn-2-atom-0:normal;part-9-spawn-2-atom-0-part-9-spawn-3-atom-0:normal|{}|-
148|part-8:track_plus|-|part-4-spawn-0-atom-0=salt@3,-2[-];part-4-spawn-0-atom-1=salt@7,-3[-];part-4-spawn-0-atom-2=salt@3,1[-];part-4-spawn-1-atom-0=salt@5,-1[-];part-9-spawn-0-atom-0=fire@0,-1[-];part-9-spawn-0-atom-1=salt@2,-5[-];part-9-spawn-1-atom-0=salt@3,-5[-];part-9-spawn-2-atom-0=salt@2,-4[-];part-9-spawn-3-atom-0=salt@1,-3[-];part-9-spawn-4-atom-0=water@4,-6[-]|part-9-spawn-1-atom-0-part-9-spawn-2-atom-0:normal;part-9-spawn-2-atom-0-part-9-spawn-3-atom-0:normal|{}|-
149|part-8:track_plus|-|part-4-spawn-0-atom-0=salt@3,-2[-];part-4-spawn-0-atom-1=salt@7,-3[-];part-4-spawn-0-atom-2=salt@3,1[-];part-4-spawn-1-atom-0=salt@5,-1[-];part-9-spawn-0-atom-0=fire@0,-1[-];part-9-spawn-0-atom-1=salt@2,-5[-];part-9-spawn-1-atom-0=salt@3,-5[-];part-9-spawn-2-atom-0=salt@2,-4[-];part-9-spawn-3-atom-0=salt@1,-3[-];part-9-spawn-4-atom-0=water@4,-6[-]|part-9-spawn-1-atom-0-part-9-spawn-2-atom-0:normal;part-9-spawn-2-atom-0-part-9-spawn-3-atom-0:normal|{}|-
150|part-10:rotate_ccw|-|part-4-spawn-0-atom-0=salt@3,-2[-];part-4-spawn-0-atom-1=salt@7,-3[-];part-4-spawn-0-atom-2=salt@3,1[-];part-4-spawn-1-atom-0=salt@5,-1[-];part-9-spawn-0-atom-0=fire@0,-1[-];part-9-spawn-0-atom-1=salt@2,-5[-];part-9-spawn-1-atom-0=salt@3,-5[-];part-9-spawn-2-atom-0=salt@2,-4[-];part-9-spawn-3-atom-0=salt@1,-3[-];part-9-spawn-4-atom-0=water@4,-6[-]|part-9-spawn-1-atom-0-part-9-spawn-2-atom-0:normal;part-9-spawn-2-atom-0-part-9-spawn-3-atom-0:normal|{}|-
151|part-10:drop|-|part-4-spawn-0-atom-0=salt@3,-2[-];part-4-spawn-0-atom-1=salt@7,-3[-];part-4-spawn-0-atom-2=salt@3,1[-];part-4-spawn-1-atom-0=salt@5,-1[-];part-9-spawn-0-atom-0=fire@0,-1[-];part-9-spawn-0-atom-1=salt@2,-5[-];part-9-spawn-1-atom-0=salt@3,-5[-];part-9-spawn-2-atom-0=salt@2,-4[-];part-9-spawn-3-atom-0=salt@1,-3[-];part-9-spawn-4-atom-0=water@4,-6[-]|part-9-spawn-1-atom-0-part-9-spawn-2-atom-0:normal;part-9-spawn-2-atom-0-part-9-spawn-3-atom-0:normal|{}|-
152|part-10:rotate_cw|-|part-4-spawn-0-atom-0=salt@3,-2[-];part-4-spawn-0-atom-1=salt@7,-3[-];part-4-spawn-0-atom-2=salt@3,1[-];part-4-spawn-1-atom-0=salt@5,-1[-];part-9-spawn-0-atom-0=fire@0,-1[-];part-9-spawn-0-atom-1=salt@2,-5[-];part-9-spawn-1-atom-0=salt@3,-5[-];part-9-spawn-2-atom-0=salt@2,-4[-];part-9-spawn-3-atom-0=salt@1,-3[-];part-9-spawn-4-atom-0=water@4,-6[-]|part-9-spawn-1-atom-0-part-9-spawn-2-atom-0:normal;part-9-spawn-2-atom-0-part-9-spawn-3-atom-0:normal|{}|-
153|part-10:rotate_cw|-|part-4-spawn-0-atom-0=salt@3,-2[-];part-4-spawn-0-atom-1=salt@7,-3[-];part-4-spawn-0-atom-2=salt@3,1[-];part-4-spawn-1-atom-0=salt@5,-1[-];part-9-spawn-0-atom-0=fire@0,-1[-];part-9-spawn-0-atom-1=salt@2,-5[-];part-9-spawn-1-atom-0=salt@3,-5[-];part-9-spawn-2-atom-0=salt@2,-4[-];part-9-spawn-3-atom-0=salt@1,-3[-];part-9-spawn-4-atom-0=water@4,-6[-]|part-9-spawn-1-atom-0-part-9-spawn-2-atom-0:normal;part-9-spawn-2-atom-0-part-9-spawn-3-atom-0:normal|{}|-
154|part-10:rotate_cw|-|part-4-spawn-0-atom-0=salt@3,-2[-];part-4-spawn-0-atom-1=salt@7,-3[-];part-4-spawn-0-atom-2=salt@3,1[-];part-4-spawn-1-atom-0=salt@5,-1[-];part-9-spawn-0-atom-0=fire@0,-1[-];part-9-spawn-0-atom-1=salt@2,-5[-];part-9-spawn-1-atom-0=salt@3,-5[-];part-9-spawn-2-atom-0=salt@2,-4[-];part-9-spawn-3-atom-0=salt@1,-3[-];part-9-spawn-4-atom-0=water@4,-6[-]|part-9-spawn-1-atom-0-part-9-spawn-2-atom-0:normal;part-9-spawn-2-atom-0-part-9-spawn-3-atom-0:normal|{}|-
155|part-10:grab|-|part-4-spawn-0-atom-0=salt@3,-2[-];part-4-spawn-0-atom-1=salt@7,-3[-];part-4-spawn-0-atom-2=salt@3,1[-];part-4-spawn-1-atom-0=salt@5,-1[-];part-9-spawn-0-atom-0=fire@0,-1[-];part-9-spawn-0-atom-1=salt@2,-5[-];part-9-spawn-1-atom-0=salt@3,-5[-];part-9-spawn-2-atom-0=salt@2,-4[-];part-9-spawn-3-atom-0=salt@1,-3[-];part-9-spawn-4-atom-0=water@4,-6[-]|part-9-spawn-1-atom-0-part-9-spawn-2-atom-0:normal;part-9-spawn-2-atom-0-part-9-spawn-3-atom-0:normal|{}|-
156|part-10:track_minus,part-8:track_minus|-|part-4-spawn-0-atom-0=salt@3,-2[-];part-4-spawn-0-atom-1=salt@7,-3[-];part-4-spawn-0-atom-2=salt@3,1[-];part-4-spawn-1-atom-0=salt@5,-1[-];part-9-spawn-0-atom-0=fire@0,-1[-];part-9-spawn-0-atom-1=salt@2,-5[-];part-9-spawn-1-atom-0=salt@3,-5[-];part-9-spawn-2-atom-0=salt@2,-4[-];part-9-spawn-3-atom-0=salt@1,-3[-];part-9-spawn-4-atom-0=water@4,-6[-]|part-9-spawn-1-atom-0-part-9-spawn-2-atom-0:normal;part-9-spawn-2-atom-0-part-9-spawn-3-atom-0:normal|{}|-
157|part-10:drop,part-8:track_minus|-|part-4-spawn-0-atom-0=salt@3,-2[-];part-4-spawn-0-atom-1=salt@7,-3[-];part-4-spawn-0-atom-2=salt@3,1[-];part-4-spawn-1-atom-0=salt@5,-1[-];part-9-spawn-0-atom-0=fire@0,-1[-];part-9-spawn-0-atom-1=salt@2,-5[-];part-9-spawn-1-atom-0=salt@3,-5[-];part-9-spawn-2-atom-0=salt@2,-4[-];part-9-spawn-3-atom-0=salt@1,-3[-];part-9-spawn-4-atom-0=water@4,-6[-]|part-9-spawn-1-atom-0-part-9-spawn-2-atom-0:normal;part-9-spawn-2-atom-0-part-9-spawn-3-atom-0:normal|{}|-
158|part-1:rotate_ccw,part-10:track_minus,part-8:grab|-|part-4-spawn-0-atom-0=salt@3,-2[-];part-4-spawn-0-atom-1=salt@7,-3[-];part-4-spawn-0-atom-2=salt@3,1[-];part-4-spawn-1-atom-0=salt@5,-1[-];part-9-spawn-0-atom-0=fire@0,-1[-];part-9-spawn-0-atom-1=salt@2,-5[-];part-9-spawn-1-atom-0=salt@3,-5[-];part-9-spawn-2-atom-0=salt@2,-4[-];part-9-spawn-3-atom-0=salt@1,-3[-];part-9-spawn-4-atom-0=water@4,-6[-]|part-9-spawn-1-atom-0-part-9-spawn-2-atom-0:normal;part-9-spawn-2-atom-0-part-9-spawn-3-atom-0:normal|{}|-
159|part-8:extend|-|part-4-spawn-0-atom-0=salt@3,-2[-];part-4-spawn-0-atom-1=salt@7,-3[-];part-4-spawn-0-atom-2=salt@3,1[-];part-4-spawn-1-atom-0=salt@5,-1[-];part-9-spawn-0-atom-0=fire@0,-1[-];part-9-spawn-0-atom-1=salt@2,-5[-];part-9-spawn-1-atom-0=salt@3,-5[-];part-9-spawn-2-atom-0=salt@2,-4[-];part-9-spawn-3-atom-0=salt@1,-3[-];part-9-spawn-4-atom-0=water@4,-6[-]|part-9-spawn-1-atom-0-part-9-spawn-2-atom-0:normal;part-9-spawn-2-atom-0-part-9-spawn-3-atom-0:normal|{}|-
160|part-8:retract|-|part-4-spawn-0-atom-0=salt@3,-2[-];part-4-spawn-0-atom-1=salt@7,-3[-];part-4-spawn-0-atom-2=salt@3,1[-];part-4-spawn-1-atom-0=salt@5,-1[-];part-9-spawn-0-atom-0=fire@0,-1[-];part-9-spawn-0-atom-1=salt@2,-5[-];part-9-spawn-1-atom-0=salt@3,-5[-];part-9-spawn-2-atom-0=salt@2,-4[-];part-9-spawn-3-atom-0=salt@1,-3[-];part-9-spawn-4-atom-0=water@4,-6[-]|part-9-spawn-1-atom-0-part-9-spawn-2-atom-0:normal;part-9-spawn-2-atom-0-part-9-spawn-3-atom-0:normal|{}|-
161|-|-|part-4-spawn-0-atom-0=salt@3,-2[-];part-4-spawn-0-atom-1=salt@7,-3[-];part-4-spawn-0-atom-2=salt@3,1[-];part-4-spawn-1-atom-0=salt@5,-1[-];part-9-spawn-0-atom-0=fire@0,-1[-];part-9-spawn-0-atom-1=salt@2,-5[-];part-9-spawn-1-atom-0=salt@3,-5[-];part-9-spawn-2-atom-0=salt@2,-4[-];part-9-spawn-3-atom-0=salt@1,-3[-];part-9-spawn-4-atom-0=water@4,-6[-]|part-9-spawn-1-atom-0-part-9-spawn-2-atom-0:normal;part-9-spawn-2-atom-0-part-9-spawn-3-atom-0:normal|{}|-
162|-|-|part-4-spawn-0-atom-0=salt@3,-2[-];part-4-spawn-0-atom-1=salt@7,-3[-];part-4-spawn-0-atom-2=salt@3,1[-];part-4-spawn-1-atom-0=salt@5,-1[-];part-9-spawn-0-atom-0=fire@0,-1[-];part-9-spawn-0-atom-1=salt@2,-5[-];part-9-spawn-1-atom-0=salt@3,-5[-];part-9-spawn-2-atom-0=salt@2,-4[-];part-9-spawn-3-atom-0=salt@1,-3[-];part-9-spawn-4-atom-0=water@4,-6[-]|part-9-spawn-1-atom-0-part-9-spawn-2-atom-0:normal;part-9-spawn-2-atom-0-part-9-spawn-3-atom-0:normal|{}|-
163|-|-|part-4-spawn-0-atom-0=salt@3,-2[-];part-4-spawn-0-atom-1=salt@7,-3[-];part-4-spawn-0-atom-2=salt@3,1[-];part-4-spawn-1-atom-0=salt@5,-1[-];part-9-spawn-0-atom-0=fire@0,-1[-];part-9-spawn-0-atom-1=salt@2,-5[-];part-9-spawn-1-atom-0=salt@3,-5[-];part-9-spawn-2-atom-0=salt@2,-4[-];part-9-spawn-3-atom-0=salt@1,-3[-];part-9-spawn-4-atom-0=water@4,-6[-]|part-9-spawn-1-atom-0-part-9-spawn-2-atom-0:normal;part-9-spawn-2-atom-0-part-9-spawn-3-atom-0:normal|{}|-
164|-|-|part-4-spawn-0-atom-0=salt@3,-2[-];part-4-spawn-0-atom-1=salt@7,-3[-];part-4-spawn-0-atom-2=salt@3,1[-];part-4-spawn-1-atom-0=salt@5,-1[-];part-9-spawn-0-atom-0=fire@0,-1[-];part-9-spawn-0-atom-1=salt@2,-5[-];part-9-spawn-1-atom-0=salt@3,-5[-];part-9-spawn-2-atom-0=salt@2,-4[-];part-9-spawn-3-atom-0=salt@1,-3[-];part-9-spawn-4-atom-0=water@4,-6[-]|part-9-spawn-1-atom-0-part-9-spawn-2-atom-0:normal;part-9-spawn-2-atom-0-part-9-spawn-3-atom-0:normal|{}|-
165|part-1:drop,part-10:drop,part-8:drop|van-berlo-payload-dropped|part-4-spawn-0-atom-0=salt@3,-2[-];part-4-spawn-0-atom-1=salt@7,-3[-];part-4-spawn-0-atom-2=salt@3,1[-];part-4-spawn-1-atom-0=salt@5,-1[-];part-9-spawn-0-atom-0=fire@0,-1[-];part-9-spawn-0-atom-1=salt@2,-5[-];part-9-spawn-1-atom-0=salt@3,-5[-];part-9-spawn-2-atom-0=salt@2,-4[-];part-9-spawn-3-atom-0=salt@1,-3[-];part-9-spawn-4-atom-0=water@4,-6[-]|part-9-spawn-1-atom-0-part-9-spawn-2-atom-0:normal;part-9-spawn-2-atom-0-part-9-spawn-3-atom-0:normal|{}|-
166|-|-|part-4-spawn-0-atom-0=salt@3,-2[-];part-4-spawn-0-atom-1=salt@7,-3[-];part-4-spawn-0-atom-2=salt@3,1[-];part-4-spawn-1-atom-0=salt@5,-1[-];part-9-spawn-0-atom-0=fire@0,-1[-];part-9-spawn-0-atom-1=salt@2,-5[-];part-9-spawn-1-atom-0=salt@3,-5[-];part-9-spawn-2-atom-0=salt@2,-4[-];part-9-spawn-3-atom-0=salt@1,-3[-];part-9-spawn-4-atom-0=water@4,-6[-]|part-9-spawn-1-atom-0-part-9-spawn-2-atom-0:normal;part-9-spawn-2-atom-0-part-9-spawn-3-atom-0:normal|{}|-
167|part-10:grab|-|part-4-spawn-0-atom-0=salt@3,-2[-];part-4-spawn-0-atom-1=salt@7,-3[-];part-4-spawn-0-atom-2=salt@3,1[-];part-4-spawn-1-atom-0=salt@5,-1[-];part-9-spawn-0-atom-0=fire@0,-1[-];part-9-spawn-0-atom-1=salt@2,-5[-];part-9-spawn-1-atom-0=salt@3,-5[-];part-9-spawn-2-atom-0=salt@2,-4[-];part-9-spawn-3-atom-0=salt@1,-3[-];part-9-spawn-4-atom-0=water@4,-6[-]|part-9-spawn-1-atom-0-part-9-spawn-2-atom-0:normal;part-9-spawn-2-atom-0-part-9-spawn-3-atom-0:normal|{}|-
168|part-10:pivot_ccw|-|part-4-spawn-0-atom-0=salt@3,-2[-];part-4-spawn-0-atom-1=salt@7,-3[-];part-4-spawn-0-atom-2=salt@3,1[-];part-4-spawn-1-atom-0=salt@5,-1[-];part-9-spawn-0-atom-0=fire@0,-1[-];part-9-spawn-0-atom-1=salt@2,-5[-];part-9-spawn-1-atom-0=salt@3,-5[-];part-9-spawn-2-atom-0=salt@2,-4[-];part-9-spawn-3-atom-0=salt@1,-3[-];part-9-spawn-4-atom-0=water@4,-6[-]|part-9-spawn-1-atom-0-part-9-spawn-2-atom-0:normal;part-9-spawn-2-atom-0-part-9-spawn-3-atom-0:normal|{}|-
169|part-10:retract|-|part-4-spawn-0-atom-0=salt@3,-2[-];part-4-spawn-0-atom-1=salt@7,-3[-];part-4-spawn-0-atom-2=salt@3,1[-];part-4-spawn-1-atom-0=salt@5,-1[-];part-9-spawn-0-atom-0=fire@0,-1[-];part-9-spawn-0-atom-1=salt@2,-5[-];part-9-spawn-1-atom-0=salt@3,-5[-];part-9-spawn-2-atom-0=salt@2,-4[-];part-9-spawn-3-atom-0=salt@1,-3[-];part-9-spawn-4-atom-0=water@4,-6[-]|part-9-spawn-1-atom-0-part-9-spawn-2-atom-0:normal;part-9-spawn-2-atom-0-part-9-spawn-3-atom-0:normal|{}|-
170|part-10:pivot_ccw|-|part-4-spawn-0-atom-0=salt@3,-2[-];part-4-spawn-0-atom-1=salt@7,-3[-];part-4-spawn-0-atom-2=salt@3,1[-];part-4-spawn-1-atom-0=salt@5,-1[-];part-9-spawn-0-atom-0=fire@0,-1[-];part-9-spawn-0-atom-1=salt@2,-5[-];part-9-spawn-1-atom-0=salt@3,-5[-];part-9-spawn-2-atom-0=salt@2,-4[-];part-9-spawn-3-atom-0=salt@1,-3[-];part-9-spawn-4-atom-0=water@4,-6[-]|part-9-spawn-1-atom-0-part-9-spawn-2-atom-0:normal;part-9-spawn-2-atom-0-part-9-spawn-3-atom-0:normal|{}|-
171|part-10:drop|-|part-4-spawn-0-atom-0=salt@3,-2[-];part-4-spawn-0-atom-1=salt@7,-3[-];part-4-spawn-0-atom-2=salt@3,1[-];part-4-spawn-1-atom-0=salt@5,-1[-];part-9-spawn-0-atom-0=fire@0,-1[-];part-9-spawn-0-atom-1=salt@2,-5[-];part-9-spawn-1-atom-0=salt@3,-5[-];part-9-spawn-2-atom-0=salt@2,-4[-];part-9-spawn-3-atom-0=salt@1,-3[-];part-9-spawn-4-atom-0=water@4,-6[-]|part-9-spawn-1-atom-0-part-9-spawn-2-atom-0:normal;part-9-spawn-2-atom-0-part-9-spawn-3-atom-0:normal|{}|-
172|part-10:track_minus|-|part-4-spawn-0-atom-0=salt@3,-2[-];part-4-spawn-0-atom-1=salt@7,-3[-];part-4-spawn-0-atom-2=salt@3,1[-];part-4-spawn-1-atom-0=salt@5,-1[-];part-9-spawn-0-atom-0=fire@0,-1[-];part-9-spawn-0-atom-1=salt@2,-5[-];part-9-spawn-1-atom-0=salt@3,-5[-];part-9-spawn-2-atom-0=salt@2,-4[-];part-9-spawn-3-atom-0=salt@1,-3[-];part-9-spawn-4-atom-0=water@4,-6[-]|part-9-spawn-1-atom-0-part-9-spawn-2-atom-0:normal;part-9-spawn-2-atom-0-part-9-spawn-3-atom-0:normal|{}|-
173|part-10:retract|-|part-4-spawn-0-atom-0=salt@3,-2[-];part-4-spawn-0-atom-1=salt@7,-3[-];part-4-spawn-0-atom-2=salt@3,1[-];part-4-spawn-1-atom-0=salt@5,-1[-];part-9-spawn-0-atom-0=fire@0,-1[-];part-9-spawn-0-atom-1=salt@2,-5[-];part-9-spawn-1-atom-0=salt@3,-5[-];part-9-spawn-2-atom-0=salt@2,-4[-];part-9-spawn-3-atom-0=salt@1,-3[-];part-9-spawn-4-atom-0=water@4,-6[-]|part-9-spawn-1-atom-0-part-9-spawn-2-atom-0:normal;part-9-spawn-2-atom-0-part-9-spawn-3-atom-0:normal|{}|-
